province,fsa,population_2016,lim_at_prevalence,lim_at_count,sac_rural_category,clc_rural_indicator,clc_rural_label,clc_low_income_indicator,clc_low_income_label,female,black,indigenous,unemployment_rate,youth_15_to_24,youth_15_to_29,french_speakers,french_first_official_language,immigrant
British Columbia,V0L,4577,0.237,660,5,1,Rural,1,Low Income,2115,10,2050,0.212,400,600,110,30,420
British Columbia,V0M,11761,0.153,1320,2,0,Not Rural,0,Not Low Income,5555,65,2280,0.091,1150,1745,385,120,1460
British Columbia,V0P,6726,0.261,1535,5,1,Rural,1,Low Income,3260,30,1140,0.113,525,785,510,135,1005
British Columbia,V0R,66795,0.162,10205,4,1,Rural,0,Not Low Income,33430,260,6135,0.078,5770,8655,4700,1070,8550
British Columbia,V0W,557,0.22899999999999998,95,5,1,Rural,1,Low Income,260,0,215,0.268,40,85,25,0,60
British Columbia,V1G,15676,0.115,1745,3,0,Not Rural,0,Not Low Income,7850,155,2320,0.121,2125,3405,760,135,1305
British Columbia,V9G,14772,0.122,1680,4,1,Rural,0,Not Low Income,7575,45,1785,0.075,1310,1860,815,150,1775
British Columbia,V9J,8715,0.124,1075,4,1,Rural,0,Not Low Income,4335,25,435,0.077,855,1205,635,130,1025
British Columbia,V9K,15654,0.147,2220,3,0,Not Rural,0,Not Low Income,8145,90,890,0.078,1005,1395,900,205,2925
British Columbia,V9P,25359,0.129,3205,3,0,Not Rural,0,Not Low Income,13310,85,1025,0.07200000000000001,1855,2575,1650,330,4205
British Columbia,V1A,8414,0.124,1020,5,1,Rural,0,Not Low Income,4200,10,465,0.095,670,1085,510,120,690
British Columbia,V1K,9265,0.174,1410,6,1,Rural,0,Not Low Income,4700,65,2485,0.111,975,1420,525,85,800
British Columbia,V1N,12546,0.13699999999999998,1675,5,1,Rural,0,Not Low Income,6280,90,620,0.08,1245,1840,635,105,1150
British Columbia,V2C,23661,0.136,3080,2,0,Not Rural,0,Not Low Income,11935,155,1845,0.065,3095,4880,1730,245,2345
British Columbia,V2V,33534,0.14400000000000002,4650,1,0,Not Rural,0,Not Low Income,16610,230,2700,0.065,3825,5795,1780,305,4690
Newfoundland and Labrador,A0C,12587,0.205,2545,6,1,Rural,1,Low Income,6400,0,145,0.268,1010,1380,175,15,125
Newfoundland and Labrador,A0G,35266,0.207,7175,5,1,Rural,1,Low Income,17780,60,1580,0.275,2830,3960,410,50,245
Newfoundland and Labrador,A0K,26058,0.174,4465,6,1,Rural,0,Not Low Income,13215,45,4420,0.363,2315,3195,370,55,275
Newfoundland and Labrador,A0L,7643,0.132,1005,3,0,Not Rural,0,Not Low Income,3890,0,2330,0.21100000000000002,720,1065,150,15,115
Newfoundland and Labrador,A0P,13721,0.106,1225,6,1,Rural,0,Not Low Income,6855,30,8790,0.147,1860,2935,625,115,375
Newfoundland and Labrador,A0R,2543,0.027999999999999997,70,6,1,Rural,0,Not Low Income,1245,20,350,0.08900000000000001,320,490,320,75,80
Newfoundland and Labrador,A2V,7288,0.052000000000000005,380,6,1,Rural,0,Not Low Income,3490,10,630,0.086,855,1395,890,215,325
Newfoundland and Labrador,A5A,8111,0.127,1010,6,1,Rural,0,Not Low Income,4165,35,380,0.121,870,1280,255,15,140
Nova Scotia,B0C,2649,0.152,395,6,1,Rural,0,Not Low Income,1335,40,135,0.33299999999999996,285,380,80,20,70
Nova Scotia,B0H,9953,0.187,1780,5,1,Rural,0,Not Low Income,5015,250,1415,0.16899999999999998,945,1265,530,185,275
Nova Scotia,B0L,2364,0.207,490,6,1,Rural,1,Low Income,1185,45,75,0.145,220,300,60,15,35
